year,avg_temp,10 years_moving_average,global,,,,*,+,global moving,,,,Year,City(10 years_moving_average),Global(10 years_moving_average),,,,,,,,
1843,24.74,,8.17,,,,202.1258,36857.60232,,,,,1843,,,,,,,,,,
1844,15.45,,7.65,,,,118.1925,,,,,,1844,,,,,,,,,,
1845,20.82,,7.85,,,,163.437,,,,,,1845,,,,,,,,,,
1846,25.214142,,8.55,,,,215.5809141,,,,,,1846,,,,,,,,,,
1847,25.214142,,8.09,,,,203.9824088,,,,,,1847,,,,,,,,,,
1848,24.56,,7.98,,,,195.9888,,,,,,1848,,,,,,,,,,
1849,24.8,,7.98,correlation,25.21414201,,197.904,,,,,,1849,,,,,,,,,,
1850,24.34,,7.9,,,,192.286,,,,,,1850,,,,,,,,,23.5018284,8.045
1851,25.03,,8.18,,1.040807098,,204.7454,,,,,,1851,,,,,,,,,23.5208284,8.032
1852,24.85,,8.1,,,,201.285,,,,,,1852,,,,,,,,,24.4478284,8.088
1853,24.93,23.5018284,8.04,,,,200.4372,,,,,,1853,23.5018284,8.045,,,,,,,24.8578284,8.114
1854,24.72,23.5208284,8.21,,,,202.9512,,,,,,1854,23.5208284,8.032,,,,,,,24.7934142,8.059
1855,24.92,24.4478284,8.11,,,,202.1012,,,,,,1855,24.4478284,8.088,,,,,,,24.698,8.026
1856,24.57,24.8578284,8,,,,196.56,,,,,,1856,24.8578284,8.114,,,,,,,24.743,8.038
1857,24.26,24.7934142,7.76,,,,188.2576,,,,,,1857,24.7934142,8.059,,,,,,,24.758,8.065
1858,25.01,24.698,8.1,,,,202.581,,,,,,1858,24.698,8.026,,,,,,,24.818,8.071
1859,24.95,24.743,8.25,,,,205.8375,,,,,,1859,24.743,8.038,,,,,,,24.728,8.038
1860,24.94,24.758,7.96,,,,198.5224,,,,,,1860,24.758,8.065,,,,,,,24.62,7.984
1861,24.13,24.818,7.85,,,,189.4205,,,,,,1861,24.818,8.071,,,,,,,24.555,7.991
1862,23.77,24.728,7.56,,,,179.7012,,,,,,1862,24.728,8.038,,,,,,,24.586,7.968
1863,24.28,24.62,8.11,,,,196.9108,,,,,,1863,24.62,7.984,,,,,,,24.617,7.975
1864,25.03,24.555,7.98,,,,199.7394,,,,,,1864,24.555,7.991,,,,,,,24.652,8.004
1865,25.23,24.586,8.18,,,,206.3814,,,,,,1865,24.586,7.968,,,,,,,24.748,8.072
1866,24.92,24.617,8.29,,,,206.5868,,,,,,1866,24.617,7.975,,,,,,,24.747,8.087
1867,25.22,24.652,8.44,,,,212.8568,,,,,,1867,24.652,8.004,,,,,,,24.782,8.105
1868,25,24.748,8.25,,,,206.25,,,,,,1868,24.748,8.072,,,,,,,24.79,8.129
1869,25.3,24.747,8.43,,,,213.279,,,,,,1869,24.747,8.087,,,,,,,24.85,8.156
1870,25.02,24.782,8.2,,,,205.164,,,,,,1870,24.782,8.105,,,,,,,24.96,8.219
1871,24.73,24.79,8.12,,,,200.8076,,,,,,1871,24.79,8.129,,,,,,,25.056,8.243
1872,24.87,24.85,8.19,,,,203.6853,,,,,,1872,24.85,8.156,,,,,,,25.051,8.288
1873,25.24,24.96,8.35,,,,210.754,,,,,,1873,24.96,8.219,,,,,,,24.971,8.256
1874,24.98,25.056,8.43,,,,210.5814,,,,,,1874,25.056,8.243,,,,,,,24.968,8.235
1875,24.43,25.051,7.86,,,,192.0198,,,,,,1875,25.051,8.288,,,,,,,24.993,8.245
1876,24.89,24.971,8.08,,,,201.1112,,,,,,1876,24.971,8.256,,,,,,,25.044,8.303
1877,25.47,24.968,8.54,,,,217.5138,,,,,,1877,24.968,8.235,,,,,,,25.038,8.277
1878,25.51,24.993,8.83,,,,225.2533,,,,,,1878,24.993,8.245,,,,,,,25.016,8.269
1879,25.24,25.044,8.17,,,,206.2108,,,,,,1879,25.044,8.303,,,,,,,25.106,8.284
1880,24.8,25.038,8.12,,,,201.376,,,,,,1880,25.038,8.277,,,,,,,25.085,8.278
1881,25.63,25.016,8.27,,,,211.9601,,,,,,1881,25.016,8.269,,,,,,,25.08,8.241
1882,24.66,25.106,8.13,,,,200.4858,,,,,,1882,25.106,8.284,,,,,,,25.062,8.175
1883,25.19,25.085,7.98,,,,201.0162,,,,,,1883,25.085,8.278,,,,,,,25.117,8.181
1884,24.8,25.08,7.77,,,,192.696,,,,,,1884,25.08,8.241,,,,,,,25.126,8.168
1885,24.98,25.062,7.92,,,,197.8416,,,,,,1885,25.062,8.175,,,,,,,25.06,8.105
1886,24.98,25.117,7.95,,,,198.591,,,,,,1886,25.117,8.181,,,,,,,25.022,8.031
1887,24.81,25.126,7.91,,,,196.2471,,,,,,1887,25.126,8.168,,,,,,,25.05,8.046
1888,25.13,25.06,8.09,,,,203.3017,,,,,,1888,25.06,8.105,,,,,,,25.077,8.031
1889,25.52,25.022,8.32,,,,212.3264,,,,,,1889,25.022,8.031,,,,,,,25.053,8.006
1890,25.07,25.05,7.97,,,,199.8079,,,,,,1890,25.05,8.046,,,,,,,25.109,8
1891,25.39,25.077,8.02,,,,203.6278,,,,,,1891,25.077,8.031,,,,,,,25.109,8.008
1892,25.22,25.053,8.07,,,,203.5254,,,,,,1892,25.053,8.006,,,,,,,25.095,8.047
1893,25.19,25.109,8.06,,,,203.0314,,,,,,1893,25.109,8,,,,,,,25.066,8.07
1894,24.66,25.109,8.16,,,,201.2256,,,,,,1894,25.109,8.008,,,,,,,25.056,8.096
1895,24.69,25.095,8.15,,,,201.2235,,,,,,1895,25.095,8.047,,,,,,,25.061,8.134
1896,24.88,25.066,8.21,,,,204.2648,,,,,,1896,25.066,8.07,,,,,,,25.036,8.143
1897,24.86,25.056,8.29,,,,206.0894,,,,,,1897,25.056,8.096,,,,,,,24.996,8.151
1898,24.88,25.061,8.18,,,,203.5184,,,,,,1898,25.061,8.134,,,,,,,25.018,8.204
1899,25.12,25.036,8.4,,,,211.008,,,,,,1899,25.036,8.143,,,,,,,25.034,8.256
1900,25.29,24.996,8.5,,,,214.965,,,,,,1900,24.996,8.151,,,,,,,25.037,8.279
1901,25.55,25.018,8.54,,,,218.197,,,,,,1901,25.018,8.204,,,,,,,24.982,8.295
1902,25.25,25.034,8.3,,,,209.575,,,,,,1902,25.034,8.256,,,,,,,25.023,8.288
1903,24.64,25.037,8.22,,,,202.5408,,,,,,1903,25.037,8.279,,,,,,,25.041,8.296
1904,25.07,24.982,8.09,,,,202.8163,,,,,,1904,24.982,8.295,,,,,,,25.038,8.313
1905,24.87,25.023,8.23,,,,204.6801,,,,,,1905,25.023,8.288,,,,,,,24.996,8.279
1906,24.85,25.041,8.38,,,,208.243,,,,,,1906,25.041,8.296,,,,,,,25.003,8.28
1907,24.44,25.038,7.95,,,,194.298,,,,,,1907,25.038,8.313,,,,,,,25.048,8.258
1908,24.95,24.996,8.19,,,,204.3405,,,,,,1908,24.996,8.279,,,,,,,24.994,8.23
1909,25.57,25.003,8.18,,,,209.1626,,,,,,1909,25.003,8.28,,,,,,,24.863,8.194
1910,24.75,25.048,8.22,,,,203.445,,,,,,1910,25.048,8.258,,,,,,,24.834,8.181
1911,24.24,24.994,8.18,,,,198.2832,,,,,,1911,24.994,8.23,,,,,,,24.833,8.189
1912,24.96,24.863,8.17,,,,203.9232,,,,,,1912,24.863,8.194,,,,,,,24.82,8.239
1913,24.63,24.834,8.3,,,,204.429,,,,,,1913,24.834,8.181,,,,,,,24.871,8.275
1914,24.94,24.833,8.59,,,,214.2346,,,,,,1914,24.833,8.189,,,,,,,24.871,8.26
1915,25.38,24.82,8.59,,,,218.0142,,,,,,1915,24.82,8.239,,,,,,,24.93,8.267
1916,24.85,24.871,8.23,,,,204.5155,,,,,,1916,24.871,8.275,,,,,,,24.901,8.261
1917,25.03,24.871,8.02,,,,200.7406,,,,,,1917,24.871,8.26,,,,,,,24.883,8.281
1918,24.66,24.93,8.13,,,,200.4858,,,,,,1918,24.93,8.267,,,,,,,24.902,8.295
1919,25.39,24.901,8.38,,,,212.7682,,,,,,1919,24.901,8.261,,,,,,,24.962,8.334
1920,24.94,24.883,8.36,,,,208.4984,,,,,,1920,24.883,8.281,,,,,,,25.001,8.358
1921,24.84,24.902,8.57,,,,212.8788,,,,,,1921,24.902,8.295,,,,,,,25.048,8.37
1922,25.35,24.962,8.41,,,,213.1935,,,,,,1922,24.962,8.334,,,,,,,25.123,8.362
1923,25.1,25.001,8.42,,,,211.342,,,,,,1923,25.001,8.358,,,,,,,25.085,8.356
1924,25.69,25.048,8.51,,,,218.6219,,,,,,1924,25.048,8.37,,,,,,,25.119,8.406
1925,25,25.123,8.53,,,,213.25,,,,,,1925,25.123,8.362,,,,,,,25.145,8.456
1926,25.19,25.085,8.73,,,,219.9087,,,,,,1926,25.085,8.356,,,,,,,25.218,8.506
1927,25.29,25.119,8.52,,,,215.4708,,,,,,1927,25.119,8.406,,,,,,,25.215,8.492
1928,25.39,25.145,8.63,,,,219.1157,,,,,,1928,25.145,8.456,,,,,,,25.26,8.519
1929,25.36,25.218,8.24,,,,208.9664,,,,,,1929,25.218,8.506,,,,,,,25.314,8.534
1930,25.39,25.215,8.63,,,,219.1157,,,,,,1930,25.215,8.492,,,,,,,25.275,8.564
1931,25.38,25.26,8.72,,,,221.3136,,,,,,1931,25.26,8.519,,,,,,,25.232,8.556
1932,24.96,25.314,8.71,,,,217.4016,,,,,,1932,25.314,8.534,,,,,,,25.16,8.568
1933,24.67,25.275,8.34,,,,205.7478,,,,,,1933,25.275,8.564,,,,,,,25.221,8.567
1934,24.97,25.232,8.63,,,,215.4911,,,,,,1934,25.232,8.556,,,,,,,25.217,8.549
1935,25.61,25.16,8.52,,,,218.1972,,,,,,1935,25.16,8.568,,,,,,,25.196,8.567
1936,25.15,25.221,8.55,,,,215.0325,,,,,,1936,25.221,8.567,,,,,,,25.168,8.59
1937,25.08,25.217,8.7,,,,218.196,,,,,,1937,25.217,8.549,,,,,,,25.148,8.642
1938,25.11,25.196,8.86,,,,222.4746,,,,,,1938,25.196,8.567,,,,,,,25.16,8.655
1939,25.16,25.168,8.76,,,,220.4016,,,,,,1939,25.168,8.59,,,,,,,25.159,8.66
1940,25.51,25.148,8.76,,,,223.4676,,,,,,1940,25.148,8.642,,,,,,,25.212,8.662
1941,25.37,25.16,8.77,,,,222.4949,,,,,,1941,25.16,8.655,,,,,,,25.241,8.704
1942,25.49,25.159,8.73,,,,222.5277,,,,,,1942,25.159,8.66,,,,,,,25.304,8.726
1943,24.96,25.212,8.76,,,,218.6496,,,,,,1943,25.212,8.662,,,,,,,25.273,8.732
1944,25.6,25.241,8.85,,,,226.56,,,,,,1944,25.241,8.704,,,,,,,25.307,8.745
1945,25.3,25.304,8.58,,,,217.074,,,,,,1945,25.304,8.726,,,,,,,25.399,8.755
1946,25.49,25.273,8.68,,,,221.2532,,,,,,1946,25.273,8.732,,,,,,,25.373,8.744
1947,26,25.307,8.8,,,,228.8,,,,,,1947,25.307,8.745,,,,,,,25.339,8.727
1948,24.85,25.399,8.75,,,,217.4375,,,,,,1948,25.399,8.755,,,,,,,25.286,8.688
1949,24.82,25.373,8.59,,,,213.2038,,,,,,1949,25.373,8.744,,,,,,,25.359,8.674
1950,24.98,25.339,8.37,,,,209.0826,,,,,,1950,25.339,8.727,,,,,,,25.382,8.665
1951,26.1,25.286,8.63,,,,225.243,,,,,,1951,25.286,8.688,,,,,,,25.437,8.676
1952,25.72,25.359,8.64,,,,222.2208,,,,,,1952,25.359,8.674,,,,,,,25.457,8.647
1953,25.51,25.382,8.87,,,,226.2737,,,,,,1953,25.382,8.665,,,,,,,25.46,8.652
1954,25.8,25.437,8.56,,,,220.848,,,,,,1954,25.437,8.676,,,,,,,25.413,8.612
1955,25.33,25.457,8.63,,,,218.5979,,,,,,1955,25.457,8.647,,,,,,,25.282,8.605
1956,25.02,25.46,8.28,,,,207.1656,,,,,,1956,25.46,8.652,,,,,,,25.361,8.607
1957,24.69,25.413,8.73,,,,215.5437,,,,,,1957,25.413,8.612,,,,,,,25.293,8.621
1958,25.64,25.282,8.77,,,,224.8628,,,,,,1958,25.282,8.605,,,,,,,25.362,8.642
1959,24.14,25.361,8.73,,,,210.7422,,,,,,1959,25.361,8.607,,,,,,,25.264,8.659
1960,25.67,25.293,8.58,,,,220.2486,,,,,,1960,25.293,8.621,,,,,,,25.302,8.67
1961,25.12,25.362,8.8,,,,221.056,,,,,,1961,25.362,8.642,,,,,,,25.305,8.669
1962,26.1,25.264,8.75,,,,228.375,,,,,,1962,25.264,8.659,,,,,,,25.239,8.654
1963,25.54,25.302,8.86,,,,226.2844,,,,,,1963,25.302,8.67,,,,,,,25.265,8.644
1964,25.14,25.305,8.41,,,,211.4274,,,,,,1964,25.305,8.669,,,,,,,25.379,8.676
1965,25.59,25.239,8.53,,,,218.2827,,,,,,1965,25.239,8.654,,,,,,,25.397,8.673
1966,26.16,25.265,8.6,,,,224.976,,,,,,1966,25.265,8.644,,,,,,,25.354,8.648
1967,24.87,25.379,8.7,,,,216.369,,,,,,1967,25.379,8.676,,,,,,,25.545,8.635
1968,25.21,25.397,8.52,,,,214.7892,,,,,,1968,25.397,8.673,,,,,,,25.562,8.647
1969,26.05,25.354,8.6,,,,224.03,,,,,,1969,25.354,8.648,,,,,,,25.543,8.627
1970,25.84,25.545,8.7,,,,224.808,,,,,,1970,25.545,8.635,,,,,,,25.407,8.602
1971,24.93,25.562,8.6,,,,214.398,,,,,,1971,25.562,8.647,,,,,,,25.413,8.611
1972,24.74,25.543,8.5,,,,210.29,,,,,,1972,25.543,8.627,,,,,,,25.439,8.617
1973,25.6,25.407,8.95,,,,229.12,,,,,,1973,25.407,8.602,,,,,,,25.384,8.638
1974,25.4,25.413,8.47,,,,215.138,,,,,,1974,25.413,8.611,,,,,,,25.265,8.613
1975,25.04,25.439,8.74,,,,218.8496,,,,,,1975,25.439,8.617,,,,,,,25.377,8.628
1976,24.97,25.384,8.35,,,,208.4995,,,,,,1976,25.384,8.638,,,,,,,25.451,8.645
1977,25.99,25.265,8.85,,,,230.0115,,,,,,1977,25.265,8.613,,,,,,,25.466,8.658
1978,25.95,25.377,8.69,,,,225.5055,,,,,,1978,25.377,8.628,,,,,,,25.465,8.686
1979,26.2,25.451,8.73,,,,228.726,,,,,,1979,25.451,8.645,,,,,,,25.567,8.743
1980,25.83,25.466,8.98,,,,231.9534,,,,,,1980,25.466,8.658,,,,,,,25.555,8.757
1981,25.95,25.465,9.17,,,,237.9615,,,,,,1981,25.465,8.686,,,,,,,25.48,8.765
1982,24.62,25.567,8.64,,,,212.7168,,,,,,1982,25.567,8.743,,,,,,,25.445,8.787
1983,24.85,25.555,9.03,,,,224.3955,,,,,,1983,25.555,8.757,,,,,,,25.471,8.779
1984,25.05,25.48,8.69,,,,217.6845,,,,,,1984,25.48,8.765,,,,,,,25.51,8.827
1985,25.3,25.445,8.66,,,,219.098,,,,,,1985,25.445,8.787,,,,,,,25.548,8.841
1986,25.36,25.471,8.83,,,,223.9288,,,,,,1986,25.471,8.779,,,,,,,25.552,8.892
1987,26.37,25.51,8.99,,,,237.0663,,,,,,1987,25.51,8.827,,,,,,,25.437,8.911
1988,25.99,25.548,9.2,,,,239.108,,,,,,1988,25.548,8.841,,,,,,,25.424,8.936
1989,25.05,25.552,8.92,,,,223.446,,,,,,1989,25.552,8.892,,,,,,,25.372,8.937
1990,25.7,25.437,9.23,,,,237.211,,,,,,1990,25.437,8.911,,,,,,,25.347,8.957
1991,25.43,25.424,9.18,,,,233.4474,,,,,,1991,25.424,8.936,,,,,,,25.404,8.941
1992,24.37,25.372,8.84,,,,215.4308,,,,,,1992,25.372,8.937,,,,,,,25.507,8.976
1993,25.42,25.347,8.87,,,,225.4754,,,,,,1993,25.347,8.957,,,,,,,25.541,9.045
1994,26.08,25.404,9.04,,,,235.7632,,,,,,1994,25.404,8.941,,,,,,,25.633,9.066
1995,25.64,25.507,9.35,,,,239.734,,,,,,1995,25.507,8.976,,,,,,,25.545,9.087
1996,26.28,25.541,9.04,,,,237.5712,,,,,,1996,25.541,9.045,,,,,,,25.619,9.119
1997,25.49,25.633,9.2,,,,234.508,,,,,,1997,25.633,9.066,,,,,,,25.806,9.156
1998,26.73,25.545,9.52,,,,254.4696,,,,,,1998,25.545,9.087,,,,,,,25.891,9.153
1999,26.92,25.619,9.29,,,,250.0868,,,,,,1999,25.619,9.119,,,,,,,26.015,9.176
2000,26.55,25.806,9.2,,,,244.26,,,,,,2000,25.806,9.156,,,,,,,26.222,9.249
2001,26.67,25.891,9.41,,,,250.9647,,,,,,2001,25.891,9.153,,,,,,,26.342,9.315
2002,26.44,26.015,9.57,,,,253.0308,,,,,,2002,26.015,9.176,,,,,,,26.354,9.343
2003,26.62,26.222,9.53,,,,253.6886,,,,,,2003,26.222,9.249,,,,,,,26.417,9.378
2004,26.2,26.342,9.32,,,,244.184,,,,,,2004,26.342,9.315,,,,,,,26.413,9.427
2005,26.27,26.354,9.7,,,,254.819,,,,,,2005,26.354,9.343,,,,,,,26.513,9.48
2006,26.24,26.417,9.53,,,,250.0672,,,,,,2006,26.417,9.378,,,,,,,26.461,9.471
2007,26.49,26.413,9.73,,,,257.7477,,,,,,2007,26.413,9.427,,,,,,,26.44,9.493
2008,26.21,26.513,9.43,,,,247.1603,,,,,,2008,26.513,9.48,,,,,,,26.522,9.543
2009,26.71,26.461,9.51,,,,254.0121,,,,,,2009,26.461,9.471,,,,,,,26.495,9.554
2010,27.37,26.44,9.7,,,,265.489,,,,,,2010,26.44,9.493,,,,,,,26.534,9.548
2011,26.4,26.522,9.52,,,,251.328,,,,,,2011,26.522,9.543,,,,,,,,
2012,26.83,26.495,9.51,,,,255.1533,,,,,,2012,26.495,9.554,,,,,,,,
2013,27.78,26.534,9.61,,,,266.9658,,,,,,2013,26.534,9.548,,,,,,,,